time added, angle, strength, distance
1611711627.5900278, 50.0, 15, 0.0
1611711627.5905719, 351.59375, 0, 0.0
1611711627.5910103, 352.78125, 0, 0.0
1611711627.591425, 353.953125, 0, 0.0
1611711627.59185, 355.046875, 0, 0.0
1611711627.5923197, 348.390625, 15, 9278.5
1611711627.592749, 349.546875, 13, 9541.25
1611711627.5964115, 350.734375, 10, 9541.25
1611711627.5968525, 352.71875, 15, 1916.75
1611711627.5972652, 353.890625, 15, 1867.25
1611711627.5976863, 355.109375, 15, 1842.75
1611711627.5981057, 356.25, 15, 1822.75
1611711627.5985205, 357.4375, 15, 1859.75
1611711627.5989497, 358.59375, 15, 1913.75
1611711627.599366, 6.8125, 0, 0.0
1611711627.59978, 8.0, 15, 0.0
1611711627.6001885, 9.171875, 0, 0.0
1611711627.6006057, 2.53125, 14, 8503.5
1611711627.6010237, 11.53125, 0, 0.0
1611711627.6053872, 12.703125, 0, 0.0
1611711627.6058195, 6.078125, 15, 7331.0
1611711627.6062279, 15.0625, 0, 0.0
1611711627.606639, 16.234375, 0, 0.0
1611711627.6070573, 9.59375, 13, 8584.75
1611711627.6074777, 10.75, 14, 8591.5
1611711627.6079097, 19.765625, 0, 0.0
1611711627.6083305, 13.109375, 15, 8545.0
1611711627.6087482, 14.296875, 15, 7859.5
1611711627.6091726, 23.28125, 0, 0.0
1611711627.6095912, 24.46875, 0, 0.0
1611711627.610006, 25.640625, 0, 0.0
1611711627.6104243, 26.828125, 0, 0.0
1611711627.6108356, 28.0, 0, 0.0
1611711627.6112418, 29.171875, 0, 0.0
1611711627.6116679, 30.34375, 0, 0.0
1611711627.6120877, 31.53125, 0, 0.0
1611711627.6125, 32.703125, 0, 0.0
1611711627.6129158, 33.875, 0, 0.0
1611711627.6321497, 35.0625, 0, 0.0
1611711627.6325905, 28.53125, 15, 5023.75
1611711627.6329987, 29.734375, 15, 4784.25
1611711627.6334167, 30.90625, 15, 4594.0
1611711627.633917, 32.109375, 15, 4512.75
1611711627.6343572, 33.296875, 15, 4322.0
1611711627.634793, 34.515625, 15, 4243.5
1611711627.6352162, 35.703125, 15, 4220.0
1611711627.6356354, 36.890625, 15, 4063.25
1611711627.636069, 38.09375, 15, 3917.75
1611711627.6364903, 39.25, 15, 3889.5
1611711627.6369054, 40.46875, 15, 3790.25
1611711627.6373281, 41.65625, 15, 3751.5
1611711627.6377447, 42.828125, 15, 3721.75
1611711627.6381626, 44.015625, 15, 3600.5
1611711627.6385875, 45.15625, 15, 3854.5
1611711627.639005, 46.375, 15, 3673.25
1611711627.639424, 47.5625, 15, 3555.25
1611711627.6398547, 48.75, 15, 3515.75
1611711627.6402757, 49.9375, 15, 3335.5
1611711627.6407044, 51.109375, 15, 3297.75
1611711627.6411307, 59.859375, 0, 0.0
1611711627.641547, 53.453125, 15, 3583.25
1611711627.6419764, 54.640625, 10, 3672.0
1611711627.6424017, 55.796875, 15, 3688.5
1611711627.6428225, 56.984375, 15, 3691.0
1611711627.6432362, 58.125, 15, 3854.5
1611711627.6437294, 66.96875, 0, 0.0
1611711627.6441708, 60.40625, 15, 5724.5
1611711627.6445994, 61.796875, 15, 3260.75
1611711627.645034, 62.984375, 15, 3160.5
1611711627.6454566, 64.125, 15, 3288.75
1611711627.6458735, 65.34375, 15, 3189.5
1611711627.6462965, 66.53125, 15, 3124.0
1611711627.646714, 67.75, 15, 2921.75
1611711627.6471255, 68.921875, 15, 2923.75
1611711627.6475441, 70.09375, 15, 2907.75
1611711627.647962, 71.265625, 15, 2933.0
1611711627.6483688, 72.421875, 15, 3070.75
1611711627.6487901, 73.640625, 15, 3036.0
1611711627.6492033, 74.8125, 15, 2948.25
1611711627.6496155, 76.015625, 15, 2816.0
1611711627.6500318, 77.21875, 15, 2800.5
1611711627.650443, 78.390625, 15, 2882.0
1611711627.6508508, 79.546875, 15, 2903.0
1611711627.6512709, 80.734375, 15, 2911.5
1611711627.651692, 81.828125, 15, 3521.5
1611711627.652109, 83.09375, 15, 2755.5
1611711627.6525285, 84.21875, 15, 2856.25
1611711627.652954, 85.421875, 15, 2813.0
1611711627.653377, 86.578125, 15, 2850.25
1611711627.653859, 95.265625, 0, 0.0
1611711627.6542826, 96.453125, 11, 0.0
1611711627.6547046, 89.75, 10, 12333.0
1611711627.6551297, 90.9375, 10, 12207.25
1611711627.655553, 92.125, 15, 10406.0
1611711627.6559978, 101.15625, 0, 0.0
1611711627.6564205, 94.515625, 13, 8709.5
1611711627.6568441, 103.515625, 0, 0.0
1611711627.6572561, 96.953125, 15, 6005.5
1611711627.6576843, 98.125, 15, 5574.5
1611711627.6581025, 99.359375, 15, 5139.0
1611711627.6585164, 100.53125, 15, 4754.75
1611711627.6589415, 101.75, 15, 4458.5
1611711627.6593542, 102.921875, 15, 4243.5
1611711627.659769, 104.125, 15, 3979.0
1611711627.6601827, 105.34375, 15, 3732.25
1611711627.6606016, 106.515625, 15, 3589.75
1611711627.6610434, 115.28125, 0, 0.0
1611711627.661463, 108.890625, 14, 3574.0
1611711627.661875, 110.03125, 15, 3577.75
1611711627.6622887, 118.828125, 0, 0.0
1611711627.6627092, 112.40625, 14, 3549.5
1611711627.663133, 113.609375, 15, 3543.5
1611711627.6636014, 114.765625, 13, 3537.75
1611711627.6640394, 115.953125, 14, 3536.0
1611711627.6644614, 117.125, 13, 3517.0
1611711627.6648715, 118.3125, 15, 3515.75
1611711627.6652827, 127.0625, 0, 0.0
1611711627.6657054, 128.25, 0, 0.0
1611711627.6661139, 125.28125, 15, 382.75
1611711627.6665285, 130.59375, 0, 0.0
1611711627.6669445, 131.78125, 0, 0.0
1611711627.667356, 132.953125, 0, 0.0
1611711627.6677673, 134.125, 0, 0.0
1611711627.6681836, 135.3125, 0, 0.0
1611711627.6685965, 136.484375, 0, 0.0
1611711627.6690063, 137.671875, 0, 0.0
1611711627.669432, 138.796875, 0, 0.0
1611711627.6698508, 139.96875, 0, 0.0
1611711627.670272, 141.140625, 0, 0.0
1611711627.6706855, 142.3125, 0, 0.0
1611711627.6711006, 143.5, 0, 0.0
1611711627.6715186, 144.671875, 0, 0.0
1611711627.6719384, 145.84375, 0, 0.0
1611711627.6723564, 147.015625, 0, 0.0
1611711627.672768, 148.203125, 0, 0.0
1611711627.6731837, 149.375, 0, 0.0
1611711627.673647, 150.546875, 0, 0.0
1611711627.6740792, 151.71875, 0, 0.0
1611711627.6744983, 152.90625, 0, 0.0
1611711627.6749122, 154.078125, 0, 0.0
1611711627.6753323, 155.25, 0, 0.0
1611711627.6757495, 156.421875, 0, 0.0
1611711627.676169, 152.125, 15, 628.25
1611711627.676586, 153.4375, 15, 599.5
1611711627.6770003, 154.59375, 15, 599.0
1611711627.677419, 155.828125, 15, 600.5
1611711627.6778336, 156.8125, 15, 601.75
1611711627.6782472, 158.796875, 15, 437.25
1611711627.6786819, 160.3125, 15, 438.25
1611711627.6791024, 165.71875, 0, 0.0
1611711627.6795158, 166.890625, 0, 0.0
