time added, angle, strength, distance
1611711964.638555, 149.75, 15, 0.0
1611711964.6410036, 7.015625, 0, 0.0
1611711964.6415992, 1.21875, 15, 1712.25
1611711964.6420977, 2.4375, 15, 1707.5
1611711964.6425767, 3.65625, 15, 1707.0
1611711964.6430395, 4.828125, 15, 1705.25
1611711964.6435156, 6.015625, 15, 1729.75
1611711964.644101, 14.15625, 0, 0.0
1611711964.644578, 15.328125, 0, 0.0
1611711964.6450434, 16.53125, 9, 0.0
1611711964.645513, 9.890625, 11, 8365.25
1611711964.6460176, 11.09375, 11, 8144.25
1611711964.6464942, 12.3125, 15, 7175.0
1611711964.6469598, 21.28125, 0, 0.0
1611711964.6500452, 22.46875, 0, 0.0
1611711964.6505287, 15.890625, 13, 6649.0
1611711964.650982, 17.078125, 15, 6727.75
1611711964.6514463, 18.265625, 15, 7048.5
1611711964.6519153, 19.4375, 9, 7160.75
1611711964.6523783, 28.421875, 0, 0.0
1611711964.6528397, 29.609375, 0, 0.0
1611711964.653304, 30.796875, 0, 0.0
1611711964.6539338, 31.984375, 0, 0.0
1611711964.654432, 33.171875, 0, 0.0
1611711964.6549037, 34.359375, 0, 0.0
1611711964.6553724, 35.546875, 0, 0.0
1611711964.6558414, 28.953125, 12, 7165.5
1611711964.6563082, 30.125, 13, 7039.5
1611711964.6567829, 31.3125, 15, 7237.75
1611711964.6572542, 32.515625, 15, 7127.75
1611711964.657729, 33.703125, 15, 6966.75
1611711964.6582208, 34.984375, 9, 6632.75
1611711964.6586926, 43.953125, 0, 0.0
1611711964.6744778, 37.390625, 12, 6093.5
1611711964.6750023, 38.578125, 15, 5805.25
1611711964.6754708, 47.53125, 0, 0.0
1611711964.675937, 41.0, 15, 5264.5
1611711964.6763983, 42.21875, 15, 5124.25
1611711964.6768646, 43.40625, 15, 4911.25
1611711964.6773384, 44.59375, 15, 4947.5
1611711964.6778114, 45.8125, 15, 4605.75
1611711964.6782863, 47.03125, 15, 4464.0
1611711964.6787548, 48.203125, 15, 4339.5
1611711964.6792212, 49.40625, 15, 4216.75
1611711964.679693, 50.609375, 15, 4023.75
1611711964.6801631, 51.828125, 15, 3831.0
1611711964.6806335, 53.0625, 15, 3578.75
1611711964.6811018, 54.265625, 15, 3438.5
1611711964.6815681, 55.46875, 15, 3344.75
1611711964.6820388, 56.65625, 15, 3215.25
1611711964.6825051, 57.875, 15, 3131.25
1611711964.6829712, 59.0625, 15, 3094.5
1611711964.6834419, 60.296875, 15, 3055.75
1611711964.6840005, 61.484375, 15, 2988.25
1611711964.6844802, 62.671875, 15, 2922.75
1611711964.6849513, 63.90625, 15, 2847.75
1611711964.6854205, 65.09375, 15, 2769.0
1611711964.685879, 66.28125, 15, 2710.0
1611711964.6863415, 67.5, 15, 2655.25
1611711964.6868012, 68.71875, 15, 2604.25
1611711964.6872685, 69.890625, 15, 2564.5
1611711964.6877346, 71.109375, 15, 2531.5
1611711964.688207, 72.3125, 15, 2485.75
1611711964.688673, 73.515625, 15, 2434.5
1611711964.6891363, 74.71875, 15, 2398.0
